Date,Close
21/7/2015,137.5
20/7/2015,141.75
17/7/2015,139
16/7/2015,138
15/7/2015,138.15
14/7/2015,137.05
13/7/2015,136.8
10/7/2015,134.55
9/7/2015,133.95
8/7/2015,134.9
7/7/2015,138.2
6/7/2015,135
3/7/2015,136.1
2/7/2015,137.1
1/7/2015,135.55
30/6/2015,132.2
29/6/2015,129.55
26/6/2015,133.85
25/6/2015,135.7
24/6/2015,133.2
23/6/2015,133.85
22/6/2015,135
19/6/2015,133.75
18/6/2015,132.6
17/6/2015,132.35
16/6/2015,128.7
15/6/2015,129.1
12/6/2015,128.15
11/6/2015,134.4
10/6/2015,136.6
9/6/2015,137.55
8/6/2015,134.85
5/6/2015,138.5
4/6/2015,137.75
3/6/2015,137.35
2/6/2015,140.8
1/6/2015,145.15
29/5/2015,146.25
28/5/2015,144.9
27/5/2015,148.7
26/5/2015,148.8
25/5/2015,147.45
22/5/2015,147.95
21/5/2015,146.65
20/5/2015,145.95
19/5/2015,147.55
18/5/2015,147.95
15/5/2015,147.4
14/5/2015,146.3
13/5/2015,144.55
12/5/2015,142.85
11/5/2015,143.35
8/5/2015,141.05
7/5/2015,137.75
6/5/2015,139.8
5/5/2015,144.55
4/5/2015,143.55
30/4/2015,142.1
29/4/2015,142.55
28/4/2015,141.95
27/4/2015,142.15
24/4/2015,147.25
23/4/2015,150.2
22/4/2015,149.65
21/4/2015,150.2
20/4/2015,153.25
17/4/2015,157.55
16/4/2015,159.3
15/4/2015,158.95
13/4/2015,161.5
10/4/2015,161.2
9/4/2015,152.05
8/4/2015,151.6
7/4/2015,151.1
6/4/2015,151.45
1/4/2015,151.1
31/3/2015,148.8
30/3/2015,149.75
27/3/2015,145.75
26/3/2015,147.3
25/3/2015,149
24/3/2015,147.95
23/3/2015,147.2
20/3/2015,149.95
19/3/2015,153.85
18/3/2015,155.85
17/3/2015,156.7
16/3/2015,154.75
13/3/2015,154.85
12/3/2015,160
11/3/2015,157.85
10/3/2015,157.25
9/3/2015,159.05
5/3/2015,159.3
4/3/2015,158.35
3/3/2015,163.55
2/3/2015,158.35
28/2/2015,154.9
27/2/2015,156.05
26/2/2015,152.55
25/2/2015,153.5
24/2/2015,155.55
23/2/2015,155.95
20/2/2015,159.7
19/2/2015,157
18/2/2015,156.85
16/2/2015,155.15
13/2/2015,157.4
12/2/2015,155.2
11/2/2015,154.35
10/2/2015,151.55
9/2/2015,149.55
6/2/2015,152.4
5/2/2015,154.75
4/2/2015,158.55
3/2/2015,160.45
